iter	Passed	Remaining
0	59	59328
1	59	29752
2	59	19882
3	60	14945
4	60	11979
5	60	10002
6	60	8593
7	60	7534
8	60	6713
9	61	6054
10	61	5514
11	61	5066
12	61	4685
13	61	4361
14	62	4079
15	62	3833
16	62	3615
17	62	3420
18	62	3247
19	63	3091
20	63	2950
21	63	2825
22	63	2712
23	64	2604
24	64	2505
25	64	2414
26	64	2329
27	64	2250
28	65	2178
29	65	2109
30	65	2044
31	65	1984
32	65	1927
33	66	1876
34	66	1825
35	66	1778
36	66	1733
37	66	1691
38	66	1650
39	67	1612
40	67	1576
41	67	1541
42	67	1508
43	67	1476
44	68	1445
45	68	1416
46	68	1389
47	68	1362
48	68	1336
49	69	1311
50	69	1288
51	69	1265
52	69	1245
53	69	1225
54	70	1204
55	70	1185
56	70	1166
57	70	1149
58	71	1132
59	71	1116
60	71	1100
61	71	1083
62	71	1068
63	72	1053
64	72	1039
65	72	1025
66	72	1012
67	72	998
68	73	986
69	73	975
70	73	965
71	73	953
72	74	941
73	74	929
74	74	918
75	74	908
76	74	897
77	75	887
78	75	877
79	75	867
80	75	858
81	75	848
82	75	838
83	76	829
84	76	825
85	76	817
86	77	809
87	77	801
88	77	793
89	77	786
90	77	778
91	78	771
92	78	763
93	78	757
94	78	749
95	78	742
96	79	736
97	79	729
98	79	723
99	79	716
100	79	710
101	79	704
102	80	698
103	80	692
104	80	686
105	80	681
106	80	675
107	81	670
108	81	664
109	81	660
110	81	654
111	81	649
112	82	644
113	82	639
114	82	635
115	82	630
116	82	625
117	83	621
118	83	617
119	83	612
120	83	608
121	83	603
122	84	599
123	84	595
124	84	591
125	84	587
126	84	582
127	85	579
128	85	576
129	85	573
130	85	569
131	86	566
132	86	562
133	86	559
134	86	556
135	87	553
136	87	549
137	87	546
138	87	543
139	87	539
140	88	537
141	88	533
142	88	530
143	88	527
144	89	524
145	89	522
146	89	519
147	89	517
148	90	515
149	90	513
150	90	510
151	91	508
152	91	505
153	91	503
154	91	501
155	92	498
156	92	496
157	92	494
158	93	492
159	93	490
160	93	487
161	93	485
162	94	483
163	130	664
164	131	663
165	131	661
166	132	658
167	132	654
168	132	652
169	132	649
170	133	645
171	133	642
172	133	639
173	134	636
174	134	634
175	134	630
176	135	627
177	135	625
178	135	622
179	135	619
180	143	649
181	143	646
182	143	642
183	144	639
184	144	636
185	144	633
186	146	637
187	146	633
188	147	630
189	147	627
190	147	624
191	147	621
192	147	618
193	148	615
194	148	612
195	148	609
196	148	606
197	149	603
198	149	601
199	149	598
200	149	595
201	150	592
202	150	589
203	150	587
204	150	584
205	150	581
206	151	579
207	151	576
208	151	573
209	151	571
210	152	568
211	152	566
212	152	563
213	152	561
214	152	558
215	153	556
216	153	553
217	153	551
218	153	549
219	154	546
220	154	544
221	154	541
222	154	539
223	154	536
224	155	534
225	155	532
226	155	529
227	155	527
228	155	525
229	156	523
230	156	520
231	156	518
232	156	516
233	157	514
234	157	512
235	157	510
236	157	508
237	158	505
238	158	503
239	158	501
240	158	499
241	158	497
242	159	495
243	159	493
244	159	491
245	159	489
246	160	488
247	160	486
248	160	484
249	160	482
250	161	480
251	161	479
252	161	477
253	161	475
254	162	473
255	162	471
256	162	470
257	162	468
258	163	466
259	163	464
260	163	462
261	163	461
262	163	459
263	164	457
264	164	456
265	164	454
266	164	452
267	165	450
268	165	449
269	165	447
270	165	445
271	165	444
272	166	442
273	166	440
274	166	439
275	166	437
276	167	435
277	167	434
278	167	432
279	167	431
280	167	429
281	168	427
282	168	426
283	168	424
284	168	423
285	169	421
286	169	420
287	169	418
288	169	417
289	169	415
290	170	414
291	170	412
292	170	411
293	170	409
294	170	408
295	171	406
296	171	405
297	171	403
298	171	402
299	171	401
300	172	399
301	172	398
302	172	396
303	172	395
304	172	394
305	173	392
306	173	391
307	173	390
308	173	388
309	174	387
310	174	386
311	174	384
312	174	383
313	175	382
314	175	381
315	175	379
316	175	378
317	175	377
318	176	375
319	176	374
320	176	373
321	176	372
322	176	370
323	177	369
324	177	368
325	177	367
326	177	365
327	177	364
328	178	363
329	178	362
330	178	360
331	178	359
332	178	358
333	179	357
334	179	356
335	179	354
336	179	353
337	179	352
338	180	351
339	180	350
340	180	348
341	180	347
342	180	346
343	181	345
344	181	344
345	181	343
346	181	342
347	182	341
348	182	339
349	182	338
350	182	337
351	182	336
352	182	335
353	183	334
354	183	333
355	183	332
356	183	330
357	183	329
358	184	328
359	184	327
360	184	326
361	184	325
362	184	324
363	185	323
364	185	322
365	185	321
366	185	320
367	186	319
368	186	318
369	186	317
370	186	316
371	186	315
372	187	314
373	187	313
374	187	312
375	187	311
376	187	310
377	188	309
378	188	308
379	188	307
380	188	306
381	188	305
382	188	304
383	189	303
384	189	302
385	189	301
386	189	300
387	190	299
388	190	299
389	190	298
390	190	297
391	191	296
392	191	295
393	191	294
394	191	293
395	191	292
396	192	291
397	192	290
398	192	289
399	192	288
400	192	287
401	192	287
402	193	286
403	193	285
404	193	284
405	193	283
406	193	282
407	194	281
408	194	280
409	194	279
410	194	279
411	194	278
412	195	277
413	195	276
414	195	275
415	195	274
416	195	273
417	196	273
418	196	272
419	196	271
420	196	270
421	196	269
422	197	268
423	197	268
424	197	267
425	197	266
426	197	265
427	198	264
428	198	264
429	198	263
430	198	262
431	198	261
432	199	260
433	199	259
434	199	259
435	199	258
436	200	257
437	200	256
438	200	256
439	200	255
440	200	254
441	200	253
442	201	252
443	201	252
444	201	251
445	201	250
446	201	249
447	202	249
448	202	248
449	202	247
450	202	246
451	202	246
452	203	245
453	203	244
454	203	243
455	203	243
456	204	242
457	204	241
458	204	240
459	204	240
460	204	239
461	204	238
462	205	237
463	205	237
464	205	236
465	205	235
466	206	235
467	206	234
468	206	233
469	206	233
470	206	232
471	207	231
472	207	231
473	207	230
474	207	229
475	208	228
476	208	228
477	208	227
478	208	226
479	208	226
480	209	225
481	209	224
482	209	224
483	209	223
484	209	222
485	210	222
486	210	221
487	210	220
488	210	220
489	210	219
490	210	218
491	211	218
492	211	217
493	211	216
494	211	216
495	211	215
496	212	214
497	212	214
498	212	213
499	212	212
500	212	212
501	213	211
502	213	210
503	213	210
504	213	209
505	213	208
506	214	208
507	214	207
508	214	206
509	214	206
510	214	205
511	215	205
512	215	204
513	215	203
514	215	203
515	215	202
516	216	201
517	216	201
518	216	200
519	216	200
520	216	199
521	217	198
522	217	198
523	217	197
524	217	196
525	217	196
526	218	195
527	218	195
528	218	194
529	218	193
530	218	193
531	219	192
532	219	192
533	219	191
534	219	190
535	219	190
536	220	189
537	220	189
538	220	188
539	220	187
540	220	187
541	221	186
542	221	186
543	221	185
544	221	185
545	221	184
546	222	183
547	222	183
548	222	182
549	222	182
550	223	181
551	223	181
552	223	180
553	223	180
554	223	179
555	224	178
556	224	178
557	224	177
558	224	177
559	224	176
560	224	176
561	225	175
562	225	174
563	225	174
564	225	173
565	225	173
566	226	172
567	226	172
568	226	171
569	226	171
570	226	170
571	227	169
572	227	169
573	227	168
574	227	168
575	227	167
576	228	167
577	228	166
578	228	166
579	228	165
580	229	165
581	229	164
582	229	164
583	229	163
584	229	163
585	230	162
586	230	161
587	230	161
588	230	160
589	230	160
590	231	159
591	231	159
592	231	158
593	231	158
594	231	157
595	232	157
596	232	156
597	232	156
598	232	155
599	232	155
600	233	154
601	233	154
602	233	153
603	233	153
604	233	152
605	233	152
606	234	151
607	234	151
608	234	150
609	234	150
610	235	149
611	235	149
612	235	148
613	235	148
614	235	147
615	236	147
616	236	146
617	236	146
618	236	145
619	236	145
620	237	144
621	237	144
622	237	143
623	237	143
624	237	142
625	238	142
626	238	141
627	238	141
628	238	140
629	238	140
630	239	139
631	239	139
632	239	138
633	239	138
634	239	137
635	240	137
636	240	136
637	240	136
638	240	135
639	240	135
640	241	135
641	241	134
642	241	134
643	241	133
644	241	133
645	242	132
646	242	132
647	242	131
648	242	131
649	242	130
650	242	130
651	243	129
652	243	129
653	243	128
654	243	128
655	243	127
656	244	127
657	244	126
658	244	126
659	244	126
660	244	125
661	245	125
662	245	124
663	245	124
664	245	123
665	245	123
666	246	122
667	246	122
668	246	121
669	246	121
670	246	121
671	247	120
672	247	120
673	247	119
674	247	119
675	247	118
676	248	118
677	248	117
678	248	117
679	248	116
680	248	116
681	249	116
682	249	115
683	249	115
684	249	114
685	249	114
686	249	113
687	250	113
688	250	113
689	250	112
690	250	112
691	250	111
692	251	111
693	251	110
694	251	110
695	251	109
696	251	109
697	252	109
698	252	108
699	252	108
700	252	107
701	253	107
702	253	107
703	253	106
704	253	106
705	253	105
706	254	105
707	254	104
708	254	104
709	254	104
710	254	103
711	255	103
712	255	102
713	255	102
714	255	101
715	255	101
716	256	101
717	256	100
